 Timestamp,FIT101,LIT101,AIT201,AIT202,AIT203,FIT201,DPIT301,FIT301,LIT301,AIT401,AIT402,FIT401,LIT401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,PIT501,PIT502,PIT503,FIT601
2015/12/23 16:00,0,680.3288,254.0374,8.349654,334.1194,2.459104,19.77399,2.216058,804.0006,148.808,187.029,1.712107,835.6728983,7.837926,173.3658,256.0562,11.18944,1.719815,1.28103,0.7398778,0.3084265,252.0347,1.569859,191.5054,0.000128152
2015/12/23 16:01,0,649.9865,254.0054,8.352218,333.5555,2.452312,19.7996,2.214137,805.2022,148.808,187.3878,1.711723,840.2057167,7.836004,173.9041,256.0562,11.18944,1.721866,1.261432,0.7397497,0.3083624,252.227,1.569859,191.6175,0.000128152
2015/12/23 16:02,0,622.902,254.0054,8.351577,333.5299,2.451799,19.69076,2.218493,809.5681,148.808,187.4648,1.710698,846.2375183,7.836004,174.263,255.7677,11.11254,1.719815,1.281286,0.7383414,0.3084265,251.9546,1.617916,191.3772,0.000128152
2015/12/23 16:03,0,594.7186,254.0054,8.353179,333.2479,2.452696,19.79,2.216699,812.6122,148.808,187.3366,1.707109,850.13843,7.835363,173.776,255.8959,11.11254,1.718534,1.254515,0.7397497,0.3105403,251.5861,1.505783,190.9446,0.000128152
2015/12/23 16:04,0,566.1033,254.0054,8.352859,333.171,2.451158,19.80601,2.215162,814.6549,148.808,187.7724,1.710441,854.732755,7.833761,174.263,255.7677,11.07408,1.7202,1.281927,0.7383414,0.3084265,252.0668,1.569859,191.4894,0.000128152
2015/12/23 16:05,0,538.2338,254.0054,8.352218,332.9659,2.44616,19.75479,2.217468,815.5762,148.808,187.7724,1.711723,860.4056717,7.833761,174.4681,255.5114,11.18944,1.724045,1.290252,0.7405179,0.3083624,252.5634,1.601897,191.7617,0.000128152
2015/12/23 16:06,0,508.3232,254.0054,8.349654,332.7352,2.446032,19.69396,2.212343,822.2251,148.808,187.4904,1.708263,864.78467,7.833761,174.2117,255.5114,11.07408,1.716739,1.267068,0.7398778,0.3104122,251.8425,1.601897,191.2811,0.000128152
2015/12/23 16:07,2.431221,493.7212,254.0054,8.348693,332.5814,2.442316,19.73238,2.215546,825.9501,148.808,187.7211,1.71467,869.24121,7.83312,174.2887,255.5114,10.92028,1.724173,1.262329,0.7380853,0.3084905,252.5154,1.601897,191.7617,0.000128152
2015/12/23 16:08,2.645165,493.6427,254.0054,8.349013,332.325,2.440137,19.81241,2.215418,827.4321,148.808,187.6698,1.711082,874.4603867,7.834081,174.4168,255.191,11.07408,1.722251,1.263994,0.7396217,0.3083624,252.1949,1.601897,191.4894,0.000128152
2015/12/23 16:09,2.585914,494.624,254.0054,8.348052,332.3763,2.443725,19.8028,2.214009,831.1571,148.808,187.7211,1.715183,879.3155417,7.834081,174.545,255.3192,11.18944,1.724173,1.301524,0.7384694,0.3083624,252.8038,1.601897,192.0661,0.000128152
2015/12/23 16:10,2.433783,496.4296,254.0054,8.345168,332.3507,2.440265,19.77079,2.2126,834.4014,148.808,188.0031,1.70916,884.2309583,7.834081,174.7244,255.1589,11.07408,1.719687,1.272192,0.7379573,0.3106684,252.0027,1.601897,191.3772,0.000128152
2015/12/23 16:11,2.641322,492.5829,253.8772,8.345168,332.2738,2.444623,19.70037,2.214777,835.2827,148.808,187.9262,1.710698,889.6930183,7.834081,174.4681,255.1589,11.07408,1.719559,1.254003,0.7397497,0.3084265,252.3231,1.601897,191.5695,0.000128152
